Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,region
central african republic,3.487,0.2456,0.0,7.7688,0.102,1.6082,9.1086,7.4692,3.5162,0.1228,0.8676,1.394,1.7872,0.0062,55.4256,0.4016,1.4044,0.0,0.0,1.448,3.8428,6.3,59.6,0.103291925465839,0.0013043478260869,0.101138716356108,0.0008488612836438,4830000.0,Africa
chad,1.6594,0.4046,0.0,43.2034,0.099,2.0902,2.1338,7.7086,11.8074,0.128,2.4512,6.0608,2.8266,0.0,13.982,0.0174,2.6898,0.0,0.0,0.9112,1.8282,4.8,37.5,0.0205783018308941,0.0007406529596492,0.0168809622563252,0.0029566866149197,16877000.0,Africa
china,4.6448,0.1732,0.1084,17.8596,2.4118,6.687,8.4902,12.1464,3.5924,2.7546,1.7286,0.8802,0.1408,0.0728,3.8032,0.3562,6.213,0.0506,0.533,1.158,26.198,6.6,8.5,0.0071555243388941,0.0003438428106404,0.0066851827422569,0.0001264987859967,1402385000.0,Asia
colombia,6.2064,0.1628,0.0,16.211,1.6264,0.9104,22.6552,7.108,15.4886,0.1552,0.3458,0.4552,0.7006,0.0686,10.0618,0.0114,9.5036,0.056,0.1894,1.8908,6.1962,22.1,4.8,4.35079483860529,0.112638540571151,4.09014440579241,0.148011892241728,49444000.0,Americas
congo,9.9224,0.0244,0.0,12.5128,0.0914,4.789,8.003,6.547,0.1926,0.346,0.6088,0.7264,0.4816,0.0066,46.4914,0.0342,2.7814,0.0,0.0032,1.34,5.104,8.4,40.3,0.571674519753534,0.0145161290322581,0.379720913374411,0.177437477346865,5518000.0,Africa
costa rica,3.3964,0.3058,0.0014,17.3222,1.5164,2.6634,19.0406,7.7262,24.907,0.0548,0.2322,0.5828,1.6708,0.0866,3.1352,0.6362,7.8012,0.0,0.0794,2.8726,5.9674,25.7,4.8,3.84343572686363,0.0522793973782039,3.05578164742712,0.735374682058306,5111000.0,Americas
cote d'ivoire,2.8974,0.0264,0.0,22.917,0.3174,2.7828,9.7482,1.9172,0.257,0.0326,0.5296,1.211,0.3454,0.2494,46.616,0.1518,1.5718,0.0,1.0886,1.7312,5.6196,9.0,19.0,0.112958930276982,0.0006189111747851,0.106105062082139,0.0062349570200573,26175000.0,Africa
croatia,9.9692,0.4592,0.001,11.5452,0.791,1.8392,6.8188,7.389,23.7648,0.0,0.3778,0.6988,0.0746,0.0472,3.6156,0.4916,6.176,0.0,0.1522,0.7616,25.0376,27.1,2.5,5.84890547263682,0.127960199004975,5.64870646766169,0.0722388059701493,4020000.0,Europe
cuba,4.1178,0.2404,0.0,19.8618,1.0526,0.6736,18.0694,6.5674,11.1942,0.1574,0.2912,1.0692,2.2672,0.0178,10.311,0.1314,6.3234,0.0,0.0012,0.907,16.748,26.7,2.5,0.283760304937506,0.0020654197322932,0.230821735661732,0.0508731495434802,11281000.0,Americas
cyprus,6.8894,0.0554,0.003,14.1292,1.1492,3.6418,12.396,10.6334,16.5488,2.9716,0.3168,0.8178,0.422,0.0614,3.541,0.4774,8.4388,0.0,0.3562,2.3874,14.7776,22.6,5.6,2.62170671085336,0.0174813587406794,0.170422535211268,2.43380281690141,1207000.0,Asia
denmark,9.7732,2.483,0.002,13.4452,1.6412,2.3594,6.2196,7.3608,31.9114,0.0,0.6694,0.237,0.0738,0.1548,6.2226,0.8138,5.7456,0.0,0.2276,0.183,10.4862,21.3,2.5,3.4632183908046,0.0380168124892777,3.30735975295934,0.117841825355979,5829000.0,Europe
djibouti,0.7556,0.1158,0.0,40.5404,0.255,0.8552,6.547,3.4856,5.817,2.3662,0.5144,0.1136,3.1448,0.3012,3.7266,0.2618,8.401,0.0,0.0812,3.2306,19.5274,12.2,18.9,0.601315789473684,0.0063765182186234,0.592307692307692,0.0026315789473684,988000.0,Africa
dominica,1.882,0.0638,0.0,6.8028,0.2488,2.8376,38.6056,5.564,8.8434,1.349,0.2438,2.2116,0.451,0.3024,13.6954,0.5106,6.3476,0.0,0.007,0.7594,9.2742,28.2,6.2,0.168055555555556,0.0,0.152777777777778,0.0152777777777778,72000.0,Americas
dominican republic,6.42,0.2244,0.0012,13.8464,1.289,1.2118,36.8862,7.0018,12.2404,0.1812,0.5134,2.279,1.1762,0.052,4.0396,0.284,4.2664,0.0,0.0216,2.5896,5.477,26.9,9.5,2.11569523809524,0.0266761904761905,1.57770476190476,0.511314285714286,10500000.0,Americas
ecuador,6.5858,0.2554,0.0656,29.8264,1.3804,1.3786,16.078,8.023,19.149,0.3052,0.44,0.353,0.314,0.0354,4.5402,0.0142,3.474,0.0,0.032,2.7554,4.9962,19.3,7.9,1.46830563645708,0.0856832847924162,1.19818399862943,0.184438353035235,17511000.0,Americas
egypt,0.1444,0.1792,0.0,35.0622,0.4614,3.1688,13.8774,3.5166,5.5136,0.0374,0.634,1.3082,0.6126,0.131,5.3838,0.1726,3.5968,4.0676,0.0536,0.7678,21.3118,31.1,4.5,0.167758896064601,0.0095274942214021,0.131002053510312,0.0272293483328869,100803000.0,Africa
el salvador,4.3302,0.2226,0.0,23.453,1.5066,1.146,11.9034,5.2674,17.4762,1.184,0.1588,2.8546,2.9322,0.0242,4.4924,0.5298,7.052,0.0,0.031,0.913,14.5406,22.7,9.0,0.867721030705138,0.0258139176053078,0.778136090109551,0.0637710229902793,6481000.0,Americas
estonia,12.3898,0.9112,0.001,12.6996,1.229,1.4254,7.0122,6.162,34.6136,0.3002,0.2914,0.1036,0.2944,0.1152,6.4806,0.4242,4.7772,0.0,0.1772,0.6944,9.9116,23.8,2.9,3.56964688204358,0.0342599549211119,2.82854996243426,0.706836964688204,1331000.0,Europe
eswatini,12.4478,0.2048,0.0038,29.5628,0.3156,0.7286,17.1074,5.1834,7.8598,1.339,0.524,0.601,0.7156,0.323,10.6374,0.1296,6.3592,0.0,0.1784,0.6516,5.1402,13.5,20.6,1.46567028985507,0.0547101449275362,1.03885869565217,0.372101449275362,1104000.0,Africa
ethiopia,4.9086,0.0552,0.0,44.1558,0.1188,0.1216,2.3548,1.4924,8.5294,0.036,0.2764,0.4644,6.039,0.8596,22.5836,0.5914,2.634,0.0,0.1604,0.9398,3.6898,3.6,20.6,0.123092519753559,0.0018665808068502,0.109237181941592,0.0119887570051168,114916000.0,Africa
fiji,3.7196,0.5844,0.0042,20.288,0.5364,4.7664,4.3272,6.0008,3.4842,0.5172,0.3284,8.7598,1.5492,0.1,15.7198,0.2476,19.4518,0.0,0.0314,1.7366,7.851,30.0,3.7,0.00625,0.0002232142857142,0.0059151785714285,0.0001116071428571,896000.0,Oceania
finland,9.0008,1.038,0.0,10.3956,0.7958,3.0612,6.3728,6.983,41.6756,1.5888,0.2194,0.1766,0.1066,0.0336,5.5342,1.09,3.6776,0.0,0.092,0.4936,7.665,24.9,2.5,0.854801953336951,0.0124434798336046,0.560680050642069,0.281678422861277,5529000.0,Europe
france,8.3262,1.5814,0.0022,13.9902,1.222,3.6428,9.756,8.801,27.568,0.3836,0.602,0.2958,0.1982,0.0328,5.3926,0.585,5.222,0.0,0.4186,1.735,10.2446,23.2,2.5,5.1990545118571,0.121558361564521,0.367876501385895,4.70961964890668,64940000.0,Europe
